evaluation_stage,candidate,sku_id,forecast_records,actual_demand_total,predicted_demand_total,absolute_error_total,squared_error_total,forecast_error_total,wape_pct,bias_pct,mae,rmse
final_test,damped_trend_exponential_smoothing,FOODS_1_001_CA_1,8,56.0,37.35973407202912,25.32013296398544,95.432439233184,-18.64026592797088,45.214523149974,-33.28618915709086,3.16501662049818,3.453846392668325
final_test,damped_trend_exponential_smoothing,FOODS_1_001_CA_2,8,55.0,69.16666323718937,39.59500347390329,264.3272614719885,14.166663237189365,71.99091540709689,25.757569522162484,4.949375434237911,5.74812210065153
final_test,damped_trend_exponential_smoothing,FOODS_1_001_CA_3,8,65.0,50.82955122035731,38.29958072917453,217.99745891686038,-14.17044877964269,58.92243189103774,-21.800690430219525,4.787447591146816,5.220122830413816
final_test,damped_trend_exponential_smoothing,FOODS_1_001_CA_4,8,21.0,6.58565717683103,16.060757117376728,55.84665987798035,-14.414342823168969,76.47979579703204,-68.63972772937605,2.007594639672091,2.642126508089184
final_test,damped_trend_exponential_smoothing,FOODS_1_001_TX_1,8,18.0,37.63659527524586,25.39841705131339,107.65092726096253,19.63659527524586,141.10231695174107,109.0921959735881,3.174802131414174,3.668291960520634
final_test,damped_trend_exponential_smoothing,FOODS_1_001_TX_2,8,29.0,32.590454996336895,15.293287604430537,47.44042545561322,3.590454996336897,52.73547449803634,12.380879297713438,1.9116609505538171,2.435170051957697
final_test,damped_trend_exponential_smoothing,FOODS_1_001_TX_3,8,25.0,21.84363893004366,11.539090267489085,22.120326900491992,-3.15636106995634,46.15636106995634,-12.62544427982536,1.4423862834361356,1.662841201847458
final_test,damped_trend_exponential_smoothing,FOODS_1_001_WI_1,8,18.0,24.49216690997463,12.24635833489223,26.77976061327653,6.49216690997463,68.03532408273462,36.067593944303496,1.5307947918615288,1.829609268849381
final_test,damped_trend_exponential_smoothing,FOODS_1_001_WI_2,8,19.0,17.097511842130423,11.274376111047637,24.32742465793557,-1.9024881578695765,59.338821637092835,-10.013095567734613,1.4092970138809546,1.7438257029422253
final_test,damped_trend_exponential_smoothing,FOODS_1_001_WI_3,8,13.0,5.769813361822699,8.775920282723137,14.286425029614222,-7.230186638177302,67.50707909787027,-55.61682029367155,1.096990035340392,1.3363394511507087
final_test,damped_trend_exponential_smoothing,FOODS_1_002_CA_1,8,26.0,21.724905479442437,14.58697771794775,39.914019510831245,-4.275094520557562,56.103760453645194,-16.4426712329137,1.8233722147434688,2.233663456936587
final_test,damped_trend_exponential_smoothing,FOODS_1_002_CA_2,8,40.0,40.33165239208344,16.08291309802086,56.013749163646835,0.3316523920834413,40.207282745052154,0.8291309802086033,2.0103641372526075,2.6460760845931572
final_test,damped_trend_exponential_smoothing,FOODS_1_002_CA_3,8,28.0,0.5839553230046401,27.41604467699536,107.95420507084023,-27.41604467699536,97.91444527498342,-97.91444527498342,3.42700558462442,3.6734555440150665
final_test,damped_trend_exponential_smoothing,FOODS_1_002_CA_4,8,13.0,15.178616643987954,9.20746226961522,16.473880684614397,2.1786166439879535,70.826632843194,16.758589569138106,1.1509327837019026,1.4350035141339548
final_test,damped_trend_exponential_smoothing,FOODS_1_002_TX_1,8,2.0,9.191574437806924,7.191574437806925,7.964842401964253,7.191574437806925,359.57872189034623,359.57872189034623,0.8989468047258656,0.9978002306301255
final_test,damped_trend_exponential_smoothing,FOODS_1_002_TX_2,8,7.0,10.58374245467759,4.937806841008193,4.48040124768232,3.5837424546775907,70.54009772868847,51.19632078110844,0.6172258551260241,0.7483649884650471
final_test,damped_trend_exponential_smoothing,FOODS_1_002_TX_3,8,20.0,11.645758442034257,13.088560389491436,30.724169001105235,-8.354241557965743,65.44280194745717,-41.771207789828715,1.6360700486864295,1.959724757494826
final_test,damped_trend_exponential_smoothing,FOODS_1_002_WI_1,8,52.0,59.58197328995293,12.445757161525322,23.921171995270548,7.581973289952925,23.934148387548696,14.580717865294087,1.5557196451906652,1.7292040074580033
final_test,damped_trend_exponential_smoothing,FOODS_1_002_WI_2,8,27.0,26.442695066034357,6.257262820713629,10.031975806141821,-0.557304933965642,23.17504748412455,-2.064092348020896,0.7821578525892037,1.119820064013736
final_test,damped_trend_exponential_smoothing,FOODS_1_002_WI_3,8,10.0,9.508622079881716,4.390530871430464,3.5647086802223242,-0.4913779201182842,43.90530871430464,-4.913779201182842,0.548816358928808,0.6675242205551725
final_test,damped_trend_exponential_smoothing,FOODS_1_003_CA_1,8,44.0,41.88043815939582,12.001559197742461,24.553946632882436,-2.119561840604179,27.276270903960135,-4.817186001373135,1.5001948997178076,1.7519256060433344
final_test,damped_trend_exponential_smoothing,FOODS_1_003_CA_2,8,58.0,54.01332158720084,22.001072619132035,98.98231808800159,-3.986678412799157,37.932883826089714,-6.873583470343374,2.7501340773915044,3.5174976561470794
final_test,damped_trend_exponential_smoothing,FOODS_1_003_CA_3,8,49.0,36.35695716841463,15.73908942857541,44.9334485150224,-12.64304283158537,32.12059067056206,-25.802128227725245,1.9673861785719262,2.3699538106000717
final_test,damped_trend_exponential_smoothing,FOODS_1_003_CA_4,8,19.0,13.130465722246697,8.434769168187461,10.181442855999153,-5.869534277753303,44.393521937828744,-30.892285672385807,1.0543461460234327,1.128131356270135
final_test,damped_trend_exponential_smoothing,FOODS_1_003_TX_1,8,18.0,13.093439179298766,9.918746286603406,32.23033672761333,-4.906560820701233,55.104146036685584,-27.258671226117958,1.2398432858254258,2.007185116263985
