movement_classification,product_count,total_units_sold,recent_units_sold,total_revenue,latest_closing_stock,latest_inventory_value,average_recent_daily_demand,average_recent_selling_frequency_pct,average_days_since_last_sale,product_share_pct,demand_contribution_pct,recent_demand_contribution_pct,revenue_contribution_pct,inventory_value_share_pct
Fast-Moving,7,257258,12922,649071.18,2739,5120.48,20.511111111111113,100.0,0.0,23.333333333333332,44.823777032819216,51.95400450305564,37.729751824342976,36.13465955802703
Regular-Moving,19,303217,11012,1009933.04,3601,8583.89,6.439766081871345,89.94152046783626,2.789473684210526,63.33333333333333,52.831520110396355,44.274686394339014,58.706231508236506,60.57555987593989
Slow-Moving,4,13457,938,61312.37,144,466.17999999999995,2.6055555555555556,90.83333333333334,0.0,13.333333333333334,2.3447028567844272,3.7713091026053394,3.5640166674205007,3.289780566033076
