inventory_demand_planning_segment,sku_store_series,simulated_closing_stock,simulated_on_order_units,estimated_inventory_value,median_inventory_coverage_days,median_recent_daily_demand,median_recent_selling_frequency_pct,median_days_since_last_sale,section_9_watchlist_series,series_share_pct,inventory_value_share_pct
Availability Priority,47,178,1192,381.75,3.3834586466165413,0.7444444444444445,43.333333333333336,0.0,0,15.666666666666668,2.693967418342972
Limited Stock / Irregular Demand,10,16,70,34.61,8.528225806451612,0.17777777777777776,13.88888888888889,0.0,5,3.3333333333333335,0.24423893215153963
Balanced / Routine Monitoring,80,1194,0,3424.27,12.707641196013288,0.9,50.0,0.0,0,26.666666666666668,24.16469367808589
Healthy Stock / Forecasting Attention,39,455,0,880.34,30.0,0.18888888888888888,13.333333333333334,4.0,26,13.0,6.212461760482127
Overstock / Active-Demand Review,84,2777,0,6357.9,24.27742946708464,0.8444444444444444,48.888888888888886,0.5,0,28.000000000000004,44.86699528246963
Overstock / Weak-Demand Review,40,1864,0,3091.68,59.010989010989015,0.2,12.222222222222221,8.0,32,13.333333333333334,21.817642928467844
