sku_id,WAPE (%),Bias (%)
FOODS_1_001_CA_1,57.170895656704424,-45.85108563753463
FOODS_1_001_CA_2,63.671805283208535,9.849602270745619
FOODS_1_001_CA_3,58.12920230213183,-0.9860297008734302
FOODS_1_001_CA_4,55.19144919124044,-37.160878708113586
FOODS_1_001_TX_1,137.51124377943486,72.60212307904003
FOODS_1_001_TX_2,49.70793098082458,13.352952994903717
FOODS_1_001_TX_3,45.44491849783806,-11.026967522569901
FOODS_1_001_WI_1,78.14738222090195,51.43268446705888
FOODS_1_001_WI_2,61.112386571725196,-5.757753968170716
FOODS_1_001_WI_3,54.048229334521125,-1.7621864451307792
FOODS_1_002_CA_1,55.13348537269622,-15.308291530387882
FOODS_1_002_CA_2,38.92489897698655,-2.0243951924582237
FOODS_1_002_CA_3,44.8392003725942,-28.13069256712372
FOODS_1_002_CA_4,94.48418472521266,67.31817325890559
FOODS_1_002_TX_1,576.339140454714,576.339140454714
FOODS_1_002_TX_2,74.2946776694896,56.40978889770805
FOODS_1_002_TX_3,59.063671107278104,-18.169254805851327
FOODS_1_002_WI_1,22.22005195237533,7.0323146059422
FOODS_1_002_WI_2,18.609102238004564,-2.2488996175563156
FOODS_1_002_WI_3,47.85830109107909,35.71591581134504
FOODS_1_003_CA_1,28.877331143816104,-11.341460080245712
FOODS_1_003_CA_2,38.171336374015326,-10.801965976240076
FOODS_1_003_CA_3,29.09562946941009,-23.497892250491486
FOODS_1_003_CA_4,37.11594678587007,-15.083574029141042
FOODS_1_003_TX_1,57.807382516453565,-15.095255238803556
FOODS_1_003_TX_2,57.01326220205952,-52.25944177690025
FOODS_1_003_TX_3,346.8908568718458,321.1999639395581
FOODS_1_003_WI_1,39.465945047237675,-22.493016460903874
FOODS_1_003_WI_2,95.61407184094993,13.904999527933093
FOODS_1_003_WI_3,110.32941091395479,-1.7807547601850882
FOODS_1_004_CA_1,inf,inf
FOODS_1_004_CA_2,inf,inf
FOODS_1_004_CA_3,3135.917377504002,3051.1334057437657
FOODS_1_004_CA_4,inf,inf
FOODS_1_004_TX_1,inf,inf
